a280,2579.0
ali535,202339.0
att48,10628.0
att532,27686.0
bayg29,1610.0
bays29,2020.0
berlin52,7542.0
bier127,118282.0
brazil58,25395.0
brd14051,469385.0
brg180,1950.0
burma14,3323.0
ch130,6110.0
ch150,6528.0
d198,15780.0
d493,35002.0
d657,48912.0
d1291,50801.0
d1655,62128.0
d2103,80450.0
d15112,1573084.0
d18512,645238.0
dantzig42,699.0
dsj1000,18659688.0
eil51,426.0
eil76,538.0
eil101,629.0
fl417,11861.0
fl1400,20127.0
fl1577,22249.0
fl3795,28772.0
fnl4461,182566.0
fri26,937.0
gil262,2378.0
gr17,2085.0
gr21,2707.0
gr24,1272.0
gr48,5046.0
gr96,55209.0
gr120,6942.0
gr137,69853.0
gr202,40160.0
gr229,134602.0
gr431,171414.0
gr666,294358.0
hk48,11461.0
kroA100,21282.0
kroB100,22141.0
kroC100,20749.0
kroD100,21294.0
kroE100,22068.0
kroA150,26524.0
kroB150,26130.0
kroA200,29368.0
kroB200,29437.0
lin105,14379.0
lin318,42029.0
linhp318,41345.0
nrw1379,56638.0
p654,34643.0
pa561,2763.0
pcb442,50778.0
pcb1173,56892.0
pcb3038,137694.0
pla7397,23260728.0
pla33810,66048945.0
pla85900,142382641.0
pr76,108159.0
pr107,44303.0
pr124,59030.0
pr136,96772.0
pr144,58537.0
pr152,73682.0
pr226,80369.0
pr264,49135.0
pr299,48191.0
pr439,107217.0
pr1002,259045.0
pr2392,378032.0
rat99,1211.0
rat195,2323.0
rat575,6773.0
rat783,8806.0
rd100,7910.0
rd400,15281.0
rl1304,252948.0
rl1323,270199.0
rl1889,316536.0
rl5915,565530.0
rl5934,556045.0
rl11849,923288.0
si175,21407.0
si535,48450.0
si1032,92650.0
st70,675.0
swiss42,1273.0
ts225,126643.0
tsp225,3916.0
u159,42080.0
u574,36905.0
u724,41910.0
u1060,224094.0
u1432,152970.0
u1817,57201.0
u2152,64253.0
u2319,234256.0
ulysses16,6859.0
ulysses22,7013.0
usa13509,19982859.0
vm1084,239297.0
vm1748,336556.0
